display_title,summary_short,critics_pick,classif,pos,p_neg
A Little Chaos,Ms Winslet plays a gardener well ahead of her time in this Louis XIVera costume drama directed by and starring Alan Rickman,1,pos,0.9927774517180553,0.007222548281942931
A Most Violent Year,A family its heatingoil business and New York are at the center of J C Chandor8217s 8220A Most Violent Year8221,1,pos,0.8258816115511011,0.17411838844889949
A Prophet,A Prophet is one of those rare films in which the moral stakes are as insistent and thought through as the aesthetic choices,1,pos,0.9342328793973693,0.0657671206026327
A Room and a Half,A Room and a Half is a rich heady fictionalized biography of the exiled Russian poet Joseph Brodsky,1,pos,0.7259057229358535,0.2740942770641435
A Screaming Man,A Screaming Man by the Chadianborn filmmaker MahamatSaleh Haroun is a tender story about an individual at the intersection of the personal and the political,1,pos,0.9465470444961139,0.05345295550388859
A Small Act,A Small Act follows Chris Mburu who as a child in Africa was sponsored by Hilde Back a woman in Sweden,1,pos,0.7092070167167448,0.2907929832832572
A Summer's Tale,Eric Rohmers languid 1996 film A Summers Tale finally released in the United States focuses on a young man vacationing in Brittany who feels torn among three women,1,neg,0.4596229253282316,0.540377074671772
A United Kingdom,This romance illustrates the struggle for African independence from colonialism under the shadow of apartheid,1,pos,0.9416553144835073,0.05834468551649172
A Useful Life,In Federico Veirojs film A Useful Life the programmer of a failing art house faces a challenge to his hermetic existence,1,pos,0.9079521829536534,0.09204781704634428
A Very Harold & Kumar 3-D Christmas,The comedy A Very Harold  Kumar 3D Christmas again delights in the recreational drug use of its two stoner characters,1,neg,0.35442358504749777,0.6455764149525043
"Accidental Courtesy: Daryl Davis, Race & America",A man who confronts racism with friendliness in his travels,1,pos,0.6683114380360047,0.33168856196399543
Aferim!,Romanias entry for consideration at the Academy Awards for best foreignlanguage film Radu Judes historical drama has resonance in our present age,1,pos,0.9855752951650832,0.014424704834916638
After the Storm,The Japanese director Hirokazu Koreedas latest family drama focusing on a writer whos fallen on hard times works in a quiet cinematic register,1,neg,0.297271323938039,0.7027286760619652
Afterimage,This passionate political movie tells the story of Wladyslaw Strzeminski a reallife artist who suffered under Soviet rule,1,pos,0.9955900447938908,0.004409955206111639
Afternoon,This Tsai Mingliang film features him and the actor Lee Kangsheng discussing personal issues in a minimalist setting,1,pos,0.9626349387750361,0.037365061224963
Aida's Secrets,This documentary follows Izak Szewelewicz who was sent to Israel as a toddler after World War II on a search for the brother he didnt know he had,1,pos,0.9586677027497681,0.04133229725023042
All is Bright,Paul Giamatti and Paul Rudd play professional thieves attempting to give up crime in All Is Bright a new film directed by Phil Morrison,1,neg,0.04421329565959238,0.9557867043404075
All the Money in the World,Mr Plummer who replaced Kevin Spacey in the role of J Paul Getty is magnetic in the film which recounts the 1973 kidnapping of his grandson,1,pos,0.8116760712421006,0.18832392875789813
Allied,Allied is not so much a work of art as a triumph of craft possibly the purest and most relaxed demonstration of the director Robert Zemeckiss mastery,1,pos,0.9983924206727725,0.0016075793272304852
Almost Christmas,David E Talberts film is often disarmingly entertaining with an appealing and talented cast that includes Danny Glover Gabrielle Union and MoNique,1,pos,0.9735234709449365,0.026476529055065513
Always Shine,Actresses try to renew their friendship during a weekend visit to Big Sur Calif but jealousies and old resentments bubble up,1,pos,0.9871265241964492,0.012873475803551658
Amanda Knox,This documentary about the case of an exchange student killed in Italy focuses less on an accused killer and more on unprincipled journalism and unapologetic sexism,1,pos,0.7898400297828896,0.2101599702171086
American Honey,Andrea Arnolds new feature her first set in the United States with a cast mostly of newcomers follows a band of aimless youths around the country,1,pos,0.9552067143633548,0.04479328563664722
American Hustle,American Hustle starring Christian Bale and Amy Adams may be about a famous federal sting but its also a love story,1,pos,0.9957623289783127,0.004237671021684239
Amy,Asif Kapadias documentary is a harrowing look at the singers life that drives home the costs of celebrity and fandom,1,pos,0.9954444348443487,0.004555565155652512
An Inconvenient Sequel: Truth to Power,A followup to An Inconvenient Truth with new information on climate change and even some positive developments,1,neg,0.34082999468886654,0.6591700053111317
An Oversimplification of Her Beauty,Terence Nance writes directs and acts in An Oversimplification of Her Beauty his film about the sweet romantic tension between two close friends,1,pos,0.9607249546445749,0.03927504535542627
Anesthesia,This film considers the cruel paradox of living amid lifeenhancing technological miracles that dont fulfill a yearning for a more purposeful existence,1,pos,0.9977334473167484,0.00226655268325213
Angkor Awakens: A Portrait of Cambodia,Robert H Liebermans documentary scrutinizes the harrowing abuses and tormented legacy of the Khmer Rouge regime,1,pos,0.9643319754875855,0.03566802451241162
Another Year,Mike Leighs Another Year like many of his films is about the casualties of British class consciousness But it also trains its eye on another form of unfairness the unequal distribution of happiness,1,pos,0.9970078278394715,0.0029921721605269944
Anthropoid,Cillian Murphy and Jamie Dornan star as Resistance fighters in Czechoslovakia who set out to assassinate one of the chief architects of the Holocaust,1,pos,0.7809643711359064,0.21903562886409586
Anton Chekhov's The Duel,Dover Kosashvilis new film adapts The Duel by Chekhov in a naturalistic style,1,pos,0.7807455442855441,0.21925445571445507
Apprentice,In this film from Singapore the chief executioner at a highsecurity prison takes on a new assistant,1,pos,0.6967179537859932,0.30328204621400623
April and the Extraordinary World,In an altered century with stunted technology a Parisian and her talking cat try to figure out why so many scientists are disappearing,1,neg,0.4980270875715138,0.5019729124284857
Argo,Argo is a doozy of a story and so borderline ridiculous that it sounds like something that could have been cooked up only by Hollywood,1,neg,0.022960253737956838,0.9770397462620447
Arrival,In Denis Villeneuves film Amy Adams plays a linguist struggling to understand interplanetary visitors checking in at 12 spots around the globe,1,pos,0.8050915353644035,0.1949084646355961
As I Open My Eyes,A headstrong singer comes of age on the eve of Tunisias Jasmine Revolution,1,pos,0.8170407929217447,0.18295920707825597
At Middleton,The romantic comedy At Middleton is also a delicate film about two people confronting their flawed marriages,1,pos,0.9956095546443648,0.0043904453556329204
Aurora,Cristi Puiu stars in and directs Aurora an enigmatic feature about human relations in presentday Romania,1,pos,0.7502770990402214,0.24972290095977745
Babies,Babies a documentary by Thomas Balms chronicles the first year in the lives of four farflung infants,1,pos,0.8692478687667464,0.13075213123325347
Baby Driver,Burning rubber and hot licks help propel this action movie about a getaway driver named Baby played by Ansel Elgort Edgar Wright directed,1,neg,0.34608523359009047,0.6539147664099129
Ballplayer Pelotero,Ballplayer Pelotero is a stark documentary that examines the process of scouting young baseball players in the Dominican Republic,1,pos,0.9970997447250014,0.002900255274997182
Balls Out,8220This isn8217t about winning8221 says the coach of the motley intramural football team at the center of this comedy 8220It8217s about winning at the last possible second8221,1,pos,0.6047119210027304,0.3952880789972676
Barbershop Punk,The documentary Barbershop Punk follows one mans battle against Comcast and how it restricts Internet traffic,1,pos,0.621033492631636,0.37896650736836435
Barbershop: The Next Cut,This movie revives the Barbershop franchise bringing back Ice Cube as the owner of a haircutting establishment on Chicagos South Side,1,neg,0.38216087362462453,0.6178391263753731
Battle for Brooklyn,Battle for Brooklyn a documentary by Michael Galinsky and Suki Hawley chronicles the Atlantic Yards project and the work of a resident who has fought against it,1,pos,0.8185209597852859,0.1814790402147142
Beach Rats,Eliza Hittmans refreshing sophomore feature centers on its main characters existential crisis,1,pos,0.9875491769828656,0.012450823017135525
Beauty and the Beast,A compassionate Belle and a splendid monster are the hallmarks of this liveaction remake of the 1991 animated film,1,pos,0.9688528440707171,0.031147155929281627
Before Midnight,Before Midnight follows the continuing romance of characters played by Julie Delpy and Ethan Hawke in the third film in a series directed by Richard Linklater,1,pos,0.9680327122975102,0.031967287702490986
Best and Most Beautiful Things,This documentary follows a young woman who is legally blind and has Aspergers syndrome as she enters adulthood and explores a new identity,1,pos,0.998711359599719,0.0012886404002795677
Beyond the Edge,With reenactments and archival material Leanne Pooley recounts Edmund Hillary and Tenzing Norgays ascent of Mount Everest,1,neg,0.32747215365671273,0.6725278463432854
Beyond the Lights,In Gina PrinceBythewood8217s 8220Beyond the Lights8221 a pop star lives a lonely life before meeting a police officer with ambitions of his own,1,pos,0.9736466678924774,0.026353332107524226
Big Game,In this adventure a Scandinavian teenager encounters the American president who has bailed out of a doomed Air Force One over the Finnish woods,1,pos,0.9059895942744081,0.09401040572559195
Big Men,Rachel Boyntons documentary Big Men is about the 2007 discovery of oil off the coast of Ghana and the perfect storm of avarice that develops around it,1,neg,0.4361232534614182,0.5638767465385778
Big Sur,Michael Polishs film Big Sur is based on Jack Kerouacs visits to that coastal California region where he fled the literary success that followed the publication of On the Road,1,pos,0.8268494080030141,0.1731505919969824
Bikes vs Cars,From a cabdriver in Copenhagen to an activist in So Paulo Fredrik Gerttens documentary presents a wide range of viewpoints,1,neg,0.39284588379512503,0.6071541162048744
Bill Cunningham New York,Richard Presss documentary Bill Cunningham New York follows that On the Street fashion photographer of The New York Times,1,pos,0.9329631318048203,0.06703686819518029
Bill Frisell: A Portrait,The director Emma Franz focuses on a musician who seems to never stop playing featuring great collaborators of this no drama artist,1,pos,0.9959247101228771,0.004075289877124219
Birdman,Alejandro G I241225rritu8217s comedy 8220Birdman8221 stars Michael Keaton as a onetime movie superhero betting his career on a strange Broadway play,1,pos,0.8124163865403634,0.18758361345963606
Bitch,Jason Ritter plays a husband whose wife goes to the dogs in this feminist horrorcomedy,1,neg,0.2522022945574732,0.7477977054425291
Black Swan,In Black Swan Natalie Portman plays an ambitious ballerina straining to handle stardom,1,pos,0.998920604775001,0.0010793952249995658
Blackhat,In Michael Mann8217s 8220Blackhat8221 a hacker is provisionally released from prison to combat a cybercriminal who has sabotaged a nuclear plant and manipulated a financial market,1,neg,0.14940573826470133,0.850594261735296
Blank City,The documentary Blank City looks at iconoclastic downtown New York filmmakers in the late 1970s and early 80s,1,neg,0.20705683484943696,0.792943165150561
Bleed for This,The film tells the true story of the brash fighter Vinny Pazienza who fractured his neck in a car accident but earned his place back in the ring,1,pos,0.6894162639818272,0.3105837360181753
Blind,A Norwegian woman who recently lost her sight struggles to keep in touch with the visual world in Eskil Vogt8217s debut feature,1,pos,0.9169962709038112,0.08300372909618796
Blue Jasmine,Cate Blanchett plays a wealthy woman who has lost her money and her bearings in Blue Jasmine directed by Woody Allen,1,neg,0.3576636193230127,0.6423363806769905
Bluebird,In this film set in a Maine logging town a schoolbus driver deals with the repercussions of a tragic mistake,1,pos,0.9580690867291923,0.041930913270806364
Bombay Beach,Bombay Beach a documentary about an abandoned California wonderland that still holds wonder for some of its residents,1,pos,0.9763426482489719,0.023657351751029364
Boom Bust Boom,This film by Terry Jones formerly of Monty Python explores the 2008 financial collapse and the possibility of more crashes through animation puppetry and interviews with economists,1,neg,0.4760006824891548,0.523999317510845
Born to Be Blue,Ethan Hawke plays Chet Baker in this extended riff on a jazz life written and directed by Robert Budreau,1,pos,0.9884732760865497,0.01152672391344752
Boyhood,Richard Linklaters tender and profound film which follows a boy and his family over a dozen years in real time is a meticulously textured work set to the rhythm of life,1,pos,0.9972863634211443,0.0027136365788520476
Braddock America,Braddock America chronicles the troubles of Braddock Pa a steel town that has seen better days,1,pos,0.9958317853925189,0.004168214607483138
Brawl in Cell Block 99,Mr Vaughn plays a reluctant avenger in this vicious thriller from the director of Bone Tomahawk,1,pos,0.67949631651898,0.32050368348102115
Bridesmaids,Bridesmaids celebrates the giddy liberating humor of the writers Kristen Wiig and Annie Mumolo,1,pos,0.9494978095330455,0.05050219046695367
Broken Embraces,Can there be such a thing as exuberant melancholy I cant think of another way to describe the spirit of Broken Embraces,1,pos,0.9979090548157353,0.0020909451842627404
Brooklyn,This film about a familiar American story the immigrant who arrives with dreams of the future and pangs over leaving home explores the question Where do we come from,1,pos,0.9980583114852281,0.001941688514771647
Brotherhood,Danish men who harass Pakistani immigrants beat up homosexuals and idolize Hitler while struggling with their own sexuality,1,pos,0.9993788587125189,0.000621141287486029
Buena Vista Social Club: Adios,This vital informative companion piece to Wim Wenderss 1999 documentary chronicles the latelife careers and deaths of the Buena Vista stars,1,pos,0.984434325667527,0.015565674332469978
Bugs,Ben Reade and Josh Evans travel the world to visit cultures where insects are prepared as food,1,pos,0.9471854417091131,0.05281455829088663
Call Her Applebroog,Beth B Ida Applebroogs daughter takes an intimate look at the artists drawings paintings and emphatic engagement with others,1,pos,0.9503540277779303,0.04964597222207431
Call Me by Your Name,In the latest movie from the Italian director Luca Guadagnino I Am Love Armie Hammer plays a visiting student who falls for his hosts teenage son,1,pos,0.9353627300435291,0.06463726995647039
Call Me Kuchu,The documentary Call Me Kuchu chronicles the struggles of the gay rights movement in Uganda and its prime mover David Kato who was bludgeoned to death in January 2011,1,pos,0.7060652509622414,0.29393474903775846
Captain Fantastic,Mr Mortensen is just one of the reasons to see this film about a family forced to leave their home in the woods and become reacquainted with society,1,pos,0.9568330004474384,0.04316699955256265
Captain Phillips,Based on a true story of a hijacking by Somali pirates Captain Phillips begins as something of a procedural about men at work and morphs into a jittery thriller,1,pos,0.7325545885449808,0.2674454114550208
Carol,Two women fall in love in this new film from Todd Haynes based on the Patricia Highsmith novel The Price of Salt,1,pos,0.8305380797123789,0.16946192028762003
Cars 3,Lightning is back and feeling a bit old in this latest breezy feature in the Pixar franchise It offers life lessons that will resonate with adults as well as with children,1,pos,0.9923750642155943,0.007624935784407054
Cash Only,In Malik Baders drama the clock is ticking fast for a desperate Detroit landlord who steals money from the wrong person,1,neg,0.18689042358441083,0.8131095764155907
Catching the Sun,This documentary spotlights international efforts to build a green economy through solar power,1,neg,0.35462408300645426,0.645375916993544
Cedar Rapids,In Cedar Rapids an insurance salesman leaves his hometown for the first time to attend a convention where he plunges into the reality of the world outside his tiny one,1,pos,0.9856932581392547,0.014306741860750458
Certified Copy,In Abbas Kiarostamis Certified Copy a couple Juliette Binoche and William Shimell drive through Tuscany arguing about art representation and authenticity,1,pos,0.7226513562959346,0.277348643704061
Chasing Coral,Jeff Orlowskis documentary emphasizes that climate change isnt just an aboveground phenomenon  warmer oceans mean that coral reefs are in peril too,1,pos,0.7935802586526131,0.20641974134738614
Cheap Thrills,Cheap Thrills is a dark comedy about two friends who fall into a rough game with a wealthy couple they meet at a bar,1,pos,0.6806766615171923,0.31932333848280997
Chicken People,This documentary directed by Nicole Lucas Haimes looks at devotees of these fair fowl on the show circuit,1,pos,0.8828569742586154,0.11714302574138372
Chinese Puzzle,Chinese Puzzle the third film in a trilogy centers on a womanizing Frenchman who follows his exwife to New York,1,pos,0.7415005356085358,0.2584994643914638
Citizenfour,8220Citizenfour8221 about Edward J Snowden8217s quest to expose sweeping government surveillance of citizens has the effect of a spooky and deeply unsettling thriller,1,pos,0.8432802396923444,0.15671976030765478
City of Gold,Laura Gabberts documentary follows the food critic Jonathan Gold in his pursuit of excellence which can lead to a taco truck or a highend restaurant,1,pos,0.8772131940485361,0.12278680595146654
Clouds of Sils Maria,8220Clouds of Sils Maria8221 directed by Olivier Assayas examines female friendships female rivalries tabloid notoriety and the loss of privacy in the Internet age,1,pos,0.9996612473028207,0.0003387526971827132
Cold Fish,Sion Sonos Cold Fish is a deliciously warped wallow in misogyny depravity and manipulation,1,pos,0.9833674866351308,0.01663251336486789
Columbus,The video essayist Kogonada uses architecture to pose larger questions in a small Indiana town,1,pos,0.9888800324785171,0.011119967521482683
Contagion,Contagion Steven Soderberghs smart spooky thriller about contemporary plagues is a paranoid freakout for the antigovernment Tea Party age,1,pos,0.7436532910735781,0.256346708926422
Cooper & Hemingway: The True Gen,Cooper  Hemingway examines the friendship between Gary Cooper and Ernest Hemingway who shared a love of the outdoors but had strikingly different personalities,1,pos,0.9988464156788498,0.00115358432115139
Crazy Heart,Crazy Heart written and directed by Scott Cooper is a small movie perfectly scaled to the big performance at its center,1,pos,0.9637700757954744,0.03622992420452386
Creed,No 7 in a series Creed stars Michael B Jordan as Sylvester Stallones protg Its a rarity A O Scott writes a terrific boxing movie,1,pos,0.9511332458533264,0.04886675414667144
Crime After Crime,Crime After Crime favors the personal over the political creating a nofrills portrait of a stoic and remarkably unembittered woman,1,pos,0.9657453288741307,0.03425467112586743
Criminal Activities,Mr Travolta plays a crime boss with a getrichquick investment scheme in this movie from Jackie Earle Haley,1,pos,0.9399843855197004,0.06001561448030088
Cupcakes,Eytan Fox8217s dramedy sends six more or less ordinary Israelis to a Paris song competition,1,pos,0.795379559793505,0.2046204402064963
Damn!,Damn is more than just a documentary about a quirky New York gubernatorial candidate,1,neg,0.46165186657393453,0.5383481334260652
Dark Horse,Subtitled The Incredible True Story of Dream Alliance this documentary recounts the rise of a foal who restored a Welsh villages spirits,1,pos,0.9993195428638119,0.0006804571361844099
Dark Shadows,Johnny Depp plays Barnabas Collins in this comedy from Tim Burton their eighth movie together based on the soap opera from the 1960s and 70s,1,pos,0.8982183178536813,0.10178168214632227
Date and Switch,Date and Switch directed by Chris Nelson is a new entry in the high school movie pool,1,pos,0.5918617942917578,0.40813820570824155
Dawn of the Planet of the Apes,In Dawn of the Planet of the Apes civilized apes and devastated humans debate what to do about each other,1,neg,0.4411418049148393,0.5588581950851628
Daybreakers,Among the many pleasures of Daybreakers is its reminder that vampire movies can function as more than just metaphors for teenage celibacy,1,pos,0.9868806118786861,0.013119388121311706
Dear Zindagi,Gauri Shindes sharply observed film depicts a young cinematographer torn between various impulses who finds guidance from a psychologist,1,pos,0.9967895567870871,0.0032104432129123144
Deliver Us From Evil,A New York police officer teams up with a priest to combat demonic possession in the horror movie Deliver Us From Evil,1,pos,0.6225491153287995,0.37745088467120197
Dementia,The titular illness is not the only disorder in the family of a Vietnam veteran who is recovering from a stroke,1,pos,0.9292199786163161,0.07078002138368386
Democrats,This documentary from Camilla Nielsson looks at recent efforts to put a constitution into place in that country,1,pos,0.792526648533311,0.20747335146668827
Demon,A modern ghost story haunted by the Holocaust this film by the Polish director Marcin Wrona reconceptualizes the Jewish mythology of the dybbuk,1,pos,0.9295432115418673,0.07045678845813395
Dheepan,In Jacques Audiards Palme dOrwinning film the members of a makeshift family find that a housing project near Paris feels like the war zone they just left,1,pos,0.9786310687688113,0.021368931231193353
Disconnect,Disconnect with Jason Bateman and Hope Davis offers a montage of overlapping stories about thievery humiliation and exposed secrets on the Internet,1,pos,0.7713162600913988,0.22868373990859925
Disturbing the Peace,Combatants for Peace a group of individuals including many former military enemies in the Middle East seeks solutions to the regions agonized convulsions,1,pos,0.9690626500625191,0.030937349937477033
Django Unchained,Django Unchained is pulpy digressive jokey giddily brutal and ferociously profane but it is also a troubling and important movie about slavery and racism,1,pos,0.9386870850567118,0.061312914943288825
Doctor Strange,This film is so giddily enjoyable and visually transfixing you might forget that its part of Marvels strategy for world domination,1,pos,0.9727531326012643,0.02724686739873807
Don’t Think Twice,The movie follows an improv troupe and its members who can be both supportive and catty,1,pos,0.9633805817024608,0.03661941829754021
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Douglas Tirolas documentary about The National Lampoon brings back the 1970s when Well kill this dog was an acceptable magazine cover line,1,pos,0.533372988939132,0.46662701106086746
Dunkirk,In his brilliant new film Christopher Nolan revisits a harrowing true World War II mission in a story of struggle survival and resistance,1,pos,0.9884782560301022,0.011521743969899521
E agora? Lembra-me,Joaquim Pinto and his husband open their lives to the audience in What Now Remind Me,1,pos,0.8154438332287746,0.18455616677122585
Eat That Question: Frank Zappa in His Own Words,A documentary about Zappa is rich in archival interviews that say worlds about this musician  who was well known but not well understood  and his times,1,pos,0.9283256089161133,0.0716743910838875
Eccentricities of a Blonde-Haired Girl,Manoel de Oliveira raises questions about the nature of life in Eccentricities of a Blond Hair Girl an adaptation of a short story by Ea de Queiros,1,pos,0.911114525733839,0.08888547426616304
Eden,The film chronicles the electronic music scene in 1990s Paris from boom to burnout,1,pos,0.9257523795864586,0.07424762041353923
Elle,Paul Verhoevens film is a psychological thriller a strangely dryeyed melodrama a kinky sex farce and a savage comedy of bourgeois manners,1,pos,0.6926662212197624,0.30733377878023754
Elstree 1976,This Jon Spira documentary is about actors who played small roles in parts of the original Star Wars that were filmed in London,1,pos,0.8600902066198728,0.13990979338012507
Enemies of the People,Thet Sambath suggests a oneman Cambodian Truth and Reconciliation Commission Instead of affixing blame he seeks the healing power of confession,1,pos,0.8767098475901054,0.12329015240989899
Enough Said,Nicole Holofceners Enough Said stars Julia LouisDreyfus James Gandolfini and Catherine Keener,1,neg,0.30784203996700416,0.6921579600329968
Equal Means Equal,Kamala Lopezs factpacked documentary features legal experts ordinary women and feminists like Eleanor Smeal and Gloria Steinem,1,pos,0.9557333021577796,0.044266697842220204
Equity,Meera Menons film starring Anna Gunn challenges stereotypes of ambition corruption and sexism even as it exploits their tenacity,1,pos,0.9569003817372004,0.04309961826280128
Ernest & Celestine,Ernest  Celestine about a mouse and a bear offers the childhood comfort of a miniature world,1,pos,0.945061585461368,0.054938414538630825
Escape Fire: The Fight to Rescue American Healthcare,Escape Fire argues that we can switch from a disease management system that relies on drugs to one that focuses on prevention over cure,1,pos,0.9613006138479792,0.03869938615202064
Eva,In Kike Ma237llo8217s Spanish drama a prodigy returns to his hometown to work on programming an android with the emotional life of a real child,1,pos,0.9887377756367774,0.011262224363222526
Eva Hesse,Marcie Begleiters documentary explores the originality and power of Hesse who managed to triumph in a maledominated art world before dying at 34,1,pos,0.6480509365042865,0.35194906349571276
Every Last Child,Tom Robertss documentary examines the struggles of health workers in Pakistan to vaccinate children against polio in the face of mistrust and Taliban attacks,1,pos,0.9945046368863983,0.00549536311360501
Everybody Wants Some!!,Richard Linklater calls his latest film set in 1980 a spiritual sequel to Dazed and Confused his 1970s high school masterpiece,1,pos,0.6516799972113836,0.3483200027886191
Everything Is Copy,Celebrities and family members discuss and honor Ephrons tartness in this documentary from Jacob Bernstein,1,pos,0.8247034762255636,0.17529652377443536
Évocateur: The Morton Downey Jr. Movie,vocateur The Morton Downey Jr Movie chronicles the rise and fall of this 1980s talkshow host,1,pos,0.7344719006214449,0.26552809937855737
Evolution,A young boys creepy childhood in a picturesque seaside village with an unsettling goingson,1,pos,0.705889947922703,0.29411005207729923
Ex Machina,In Alex Garland8217s film an Internet mogul creates a gorgeous robot named Ava with unsettling consequences,1,pos,0.9502575792299145,0.049742420770085
Exit Through The Gift Shop,A documentary follows a Frenchman who follows Banksy and other street artists,1,neg,0.48406193413788334,0.5159380658621177
Experimenter,In the intellectually playful portrait of the social psychologist Stanley Milgram the director Michael Almereyda turns a biopic into a mind game,1,pos,0.9622917917653108,0.03770820823469086
Eye in the Sky,Gavin Hoods movie is a riveting thriller  and often a grim suspenseful farce  about drone warfare and its perils,1,pos,0.9832991476022851,0.016700852397714166
Fair Game,Sean Penn and Naomi Watts star as Joseph Wilson and Valerie Plame Wilson the couple at the center of the controversy over whether Iraq had weapons of mass destruction,1,pos,0.8300945213835554,0.16990547861644895
Fairhaven,In Tom OBriens Fairhaven three old friends from a Massachusetts fishing village are reunited for a funeral,1,neg,0.41925457631313245,0.580745423686867
Farmageddon,In the documentary Farmageddon Kristin Canty seeks to show that agribusiness is employing government agencies to harass independent farmers,1,pos,0.920329212467646,0.0796707875323517
Fastball,This documentary written and directed by Jonathan Hock offers a batters point of view on trying to hit a superior fastball,1,neg,0.05116526491621019,0.9488347350837886
Faults,This twisty winningly unsettling feature debut of the director Riley Stearns adds a sometimes darkly comic strain to cultcentric movies,1,pos,0.9981497010083149,0.0018502989916901055
Faust,Faust the concluding installment of the Men of Power tetralogy is Alexander Sokurovs freehanded adaptation of Goethes great allegorical drama,1,pos,0.9495100552508887,0.05048994474911165
Félix et Meira,Longing to feel alive a restless young woman is drawn to someone from a different world in this film directed by Maxime Giroux,1,pos,0.9683487066512209,0.03165129334877864
Fences,Starring Denzel Washington who also directed and Viola Davis this film adaptation of August Wilsons play features performances of unmatched force,1,pos,0.9879641956920442,0.012035804307955866
Field Niggas,The director Khalik Allah shows people existing in a form of bondage often created by drug addiction but he manages to find radiance as well,1,pos,0.9358485946859978,0.0641514053139995
Finders Keepers,This custody battle between an amputee and the man who unwittingly bought his leg is as authentic as the North Carolina vernacular in which it unfolds,1,pos,0.998525319537363,0.0014746804626396875
Finding Dory,The friendly blue fish with shortterm memory problems goes looking for her family and takes a star turn in this sequel to Finding Nemo,1,pos,0.8153664446643326,0.18463355533566966
Fireworks Wednesday,Asghar Farhadis film set during the boisterous New Year celebrations in Tehran dissects the imploding marriage of an affluent couple,1,pos,0.9415185259460116,0.058481474053989964
Five Came Back,A screen adaptation of Mark Harriss 2014 book adds visuals to the story of five Hollywood directors who served in World War II with cameras in tow,1,pos,0.98226811906091,0.01773188093908803
Flight,Flight is a story of survival that hits many familiar recovery beats partly because transformation is the only way out when a star plays an addict in an American mainstream movie,1,pos,0.9792545172193994,0.020745482780604767
For Colored Girls,With For Colored Girls Tyler Perry works very hard and gets it mostly right,1,neg,0.26081299503626915,0.739187004963731
Fort Tilden,Two selfcentered young women from New York embark on a picaresque bike ride and encounter all sorts of complications,1,pos,0.9704311295346623,0.029568870465339788
