display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
A United Kingdom,PG-13,1,GLENN KENNY,Review: ‘A United Kingdom’ With Love That Tested Racial Tolerance,"This romance illustrates the struggle for African independence from colonialism, under the shadow of apartheid.",2017-02-09,2017-02-10,2017-11-02 4:18,3901302,Biography,1,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)",0,0
A Useful Life,Not Rated,1,JEANNETTE CATSOULIS,Death of an Art House Means a Start to a Life,In Federico Veiroj’s film “A Useful Life” the programmer of a failing art house faces a challenge to his hermetic existence.,2011-01-12,2011-01-14,2017-11-02 4:18,NA,Drama,0,"Inés Bortagaray, Gonzalo Delgado, Arauco Hernández Holz, Federico Veiroj",0,0
A Very Harold & Kumar 3-D Christmas,R,1,NEIL GENZLINGER,A Holiday Up in Smoke,The comedy “A Very Harold & Kumar 3D Christmas” again delights in the recreational drug use of its two stoner characters.,2011-11-03,2011-11-04,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
"Accidental Courtesy: Daryl Davis, Race & America",NA,1,GLENN KENNY,Review: ‘Accidental Courtesy’ Is Gentle Persuasion for Bigots,A man who confronts racism with friendliness in his travels.,2017-01-05,2016-12-09,2017-11-02 4:18,1452,Documentary,0,N/A,0,0
Aferim!,NA,1,A. O. SCOTT,Review: ‘Aferim!’ Traverses an Unforgiving Romania in the 1800s,"Romania’s entry for consideration at the Academy Awards for best foreign-language film, Radu Jude’s historical drama has resonance in our present age.",2016-01-21,2016-01-22,2017-11-02 4:18,NA,Adventure,0,"Radu Jude (screenplay), Florin Lazarescu",0,0
After the Storm,NA,1,GLENN KENNY,Review: Intimate Struggles Come to Life in ‘After the Storm’,"The Japanese director Hirokazu Kore-eda’s latest family drama, focusing on a writer who’s fallen on hard times, works in a quiet cinematic register.",2017-03-15,2017-03-17,2017-11-02 4:18,270210,Comedy,0,"Hirokazu Koreeda (original story), Hirokazu Koreeda (screenplay)",0,0
Afterimage,NA,1,GLENN KENNY,"Review: Andrzej Wajda’s Vividly Rendered Last Film, ‘Afterimage’","This passionate political movie tells the story of Wladyslaw Strzeminski, a real-life artist who suffered under Soviet rule.",2017-05-17,2017-05-19,2017-11-02 4:18,NA,Biography,0,"Andrzej Wajda (idea), Andrzej Mularczyk (screenplay)",0,0
Afternoon,NA,1,GLENN KENNY,"Review: In ‘Afternoon,’ Two Men Open Up",This Tsai Ming-liang film features him and the actor Lee Kang-sheng discussing personal issues in a minimalist setting.,2016-03-31,2016-04-01,2017-11-02 4:18,NA,Drama,1,"Anton Chekhov (play), Angela Schanelec",0,NA
Aida's Secrets,NA,1,DANIEL M. GOLD,Review: Uncovering a Displaced Family’s Past in ‘Aida’s Secrets’,"This documentary follows Izak Szewelewicz, who was sent to Israel as a toddler after World War II, on a search for the brother he didn’t know he had.",2017-10-19,2017-10-20,2017-11-03 16:44,96104,Documentary,0,"Halil Efrat, Alon Schwarz",0,0
All is Bright,R,1,STEPHEN HOLDEN,"Sell Them Trees, Then Steal Them Blind","Paul Giamatti and Paul Rudd play professional thieves attempting to give up crime in “All Is Bright,” a new film directed by Phil Morrison.",2013-10-03,2013-10-04,2017-11-02 4:18,4556,Comedy,0,Melissa James Gibson,0,0
All the Money in the World,R,1,MANOHLA DARGIS,Review: Christopher Plummer Dominates ‘All the Money in the World’,"Mr. Plummer, who replaced Kevin Spacey in the role of J. Paul Getty, is magnetic in the film, which recounts the 1973 kidnapping of his grandson.",2017-12-24,2017-12-25,2018-01-24 17:44,20153135,Biography,0,"David Scarpa, John Pearson (based on the book 'Painfully Rich: The Outrageous Fortune and Misfortunes of the Heirs of J. Paul Getty' by)",1,1
Allied,R,1,A. O. SCOTT,"Review: ‘Allied,’ With Brad Pitt and Marion Cotillard, Uncorks a Favorite Vintage","“Allied” is not so much a work of art as a triumph of craft, possibly the purest and most relaxed demonstration of the director Robert Zemeckis’s mastery.",2016-11-22,2016-11-23,2017-11-02 4:18,40069087,Action,0,Steven Knight,0,1
Almost Christmas,PG-13,1,GLENN KENNY,"Review: ‘Almost Christmas,’ a Home-for-the-Holidays Comedy","David E. Talbert’s film is often disarmingly entertaining, with an appealing and talented cast that includes Danny Glover, Gabrielle Union and Mo’Nique.",2016-11-10,2016-11-11,2017-11-02 4:18,41715860,Comedy,0,David E. Talbert,0,0
Always Shine,Not Rated,1,GLENN KENNY,"Review: Two Friends Take a Trip, Heavy Baggage in Tow, in ‘Always Shine’","Actresses try to renew their friendship during a weekend visit to Big Sur, Calif., but jealousies and old resentments bubble up.",2016-11-24,2016-11-25,2017-11-02 4:18,11891,Drama,1,Lawrence Michael Levine,1,0
Amanda Knox,NA,1,JEANNETTE CATSOULIS,"Review: In ‘Amanda Knox,’ a Murder and Journalism Run Amok",This documentary about the case of an exchange student killed in Italy focuses less on an accused killer and more on unprincipled journalism and unapologetic sexism.,2016-09-29,2016-09-30,2017-11-02 4:18,NA,Documentary,0,"Matthew Hamachek, Brian McGinn",1,0
American Honey,R,1,A. O. SCOTT,Review: Youthful Recklessness Finds Adventure on the Road in ‘American Honey’,"Andrea Arnold’s new feature (her first set in the United States), with a cast mostly of newcomers, follows a band of aimless youths around the country.",2016-09-29,2016-09-30,2017-11-02 4:18,662786,Adventure,1,Andrea Arnold,1,1
American Hustle,R,1,MANOHLA DARGIS,"Big Hair, Bad Scams, Motormouths","“American Hustle,” starring Christian Bale and Amy Adams, may be about a famous federal sting, but it’s also a love story.",2013-12-12,2013-12-20,2017-11-02 4:18,99165609,Crime,0,"Eric Warren Singer, David O. Russell",0,1
Amy,R,1,MANOHLA DARGIS,"Review: &#8216;Amy,&#8217; an Intimate Diary of Amy Winehouse&#8217;s Rise and Destruction",Asif Kapadia’s documentary is a harrowing look at the singer’s life that drives home the costs of celebrity and fandom.,2015-07-02,2015-07-03,2017-11-02 4:18,7851076,Documentary,0,N/A,1,1
An Inconvenient Sequel: Truth to Power,PG,1,BEN KENIGSBERG,"Review: ‘An Inconvenient Sequel,’ With Al Gore Keeping the Pressure On","A follow-up to “An Inconvenient Truth,” with new information on climate change and even some positive developments.",2017-07-27,2017-08-04,2017-11-02 4:18,3456144,Documentary,1,Al Gore,0,1
An Oversimplification of Her Beauty,NA,1,NICOLAS RAPOLD,"Young Love, the Unrequited Type","Terence Nance writes, directs and acts in “An Oversimplification of Her Beauty,” his film about the sweet romantic tension between two close friends.",2013-04-25,2013-04-12,2017-11-02 4:18,42308,Animation,0,Terence Nance,1,0
Anesthesia,R,1,STEPHEN HOLDEN,Review: ‘Anesthesia’ Ponders the Meaningfulness of Life,This film considers the cruel paradox of living amid life-enhancing technological miracles that don’t fulfill a yearning for a more purposeful existence.,2016-01-07,2016-01-08,2017-11-02 4:18,22386,Crime,0,Tim Blake Nelson,0,NA
Angkor Awakens: A Portrait of Cambodia,NA,1,ANDY WEBSTER,"Review: ‘Angkor Awakens,’ a Blistering Account of Cambodia’s Painful Past",Robert H. Lieberman’s documentary scrutinizes the harrowing abuses and tormented legacy of the Khmer Rouge regime.,2017-05-03,2017-05-05,2017-11-02 4:18,NA,Documentary,0,David Kossack (story),NA,NA
Another Year,PG-13,1,A. O. SCOTT,"Injustice, British and Otherwise","Mike Leigh’s “Another Year,” like many of his films, is about the casualties of British class consciousness. But it also trains its eye on another form of unfairness: the unequal distribution of happiness.",2010-12-28,2011-02-04,2017-11-02 4:18,3200000,Comedy,0,Mike Leigh,0,1
Anthropoid,R,1,ANDY WEBSTER,Review: A Mission Against All Odds in the Wartime Thriller ‘Anthropoid’,Cillian Murphy and Jamie Dornan star as Resistance fighters in Czechoslovakia who set out to assassinate one of the chief architects of the Holocaust.,2016-08-11,2016-08-12,2017-11-02 4:18,2959288,Biography,0,"Sean Ellis, Anthony Frewin",0,0
Anton Chekhov's The Duel,NA,1,MANOHLA DARGIS,"Summer’s Heat Breeds Love, Loathing and Darwinian Competition",Dover Kosashvili’s new film adapts “The Duel” by Chekhov in a naturalistic style.,2010-04-27,2010-04-28,2017-11-02 4:18,NA,Drama,0,"Mary Bing, Anton Chekhov (novel)",0,0
Apprentice,NA,1,STEPHEN HOLDEN,"Review: In ‘Apprentice,’ Teaching the Fine Art of Execution","In this film from Singapore, the chief executioner at a high-security prison takes on a new assistant.",2017-03-02,2017-03-03,2017-11-02 4:18,2578,Drama,0,"Junfeng Boo (story), Junfeng Boo, Raymond Phathanavirangoon (story)",0,0
April and the Extraordinary World,PG,1,GLENN KENNY,"Review: ‘April and the Extraordinary World,’ Animated Sci-Fi From France","In an altered century with stunted technology, a Parisian and her talking cat try to figure out why so many scientists are disappearing.",2016-03-24,2016-04-08,2017-11-02 4:18,294311,Animation,0,"Franck Ekinci (screenplay), Benjamin Legrand (screenplay), Benjamin Legrand (original idea), Jacques Tardi (graphic novel), Mark Camacho (adaptation), Pauline Little (adaptation)",1,0
Argo,R,1,MANOHLA DARGIS,Outwitting the Ayatollah With Hollywood’s Help,“Argo” is a doozy of a story and so borderline ridiculous that it sounds like something that could have been cooked up only by Hollywood.,2012-10-11,2012-10-12,2017-11-02 4:18,136019448,Biography,0,"Chris Terrio (screenplay by), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)",0,1
Arrival,PG-13,1,MANOHLA DARGIS,"Review: Aliens Drop Anchor in ‘Arrival,’ but What Are Their Intentions?","In Denis Villeneuve’s film, Amy Adams plays a linguist struggling to understand interplanetary visitors checking in at 12 spots around the globe.",2016-11-10,2016-11-11,2017-11-02 4:18,100501349,Drama,0,"Eric Heisserer (screenplay by), Ted Chiang (based on the story ""Story of Your Life"" written by)",1,1
As I Open My Eyes,NA,1,STEPHEN HOLDEN,"Review: In ‘As I Open My Eyes,’ Feeling a Revolution Coming",A headstrong singer comes of age on the eve of Tunisia’s Jasmine Revolution.,2016-09-08,2016-09-09,2017-11-02 4:18,30924,Drama,1,"Leyla Bouzid, Marie-Sophie Chambon",1,0
At Middleton,R,1,NEIL GENZLINGER,Your Child Is Choosing a College; Time to Tag Along,The romantic comedy “At Middleton” is also a delicate film about two people confronting their flawed marriages.,2014-01-30,2014-01-31,2017-11-02 4:18,52926,Comedy,0,"Glenn German, Adam Rodgers",0,0
Aurora,NA,1,MANOHLA DARGIS,Following in the Shadows of a Very Shadowy Man,"Cristi Puiu stars in and directs “Aurora,” an enigmatic feature about human relations in present-day Romania.",2011-06-28,2011-06-29,2017-11-02 4:18,5558,Drama,0,Cristi Puiu,0,0
Babies,PG,1,A. O. SCOTT,"Awwwwww, Ewwww, Who’s a Good Baby?","“Babies,” a documentary by Thomas Balmès, chronicles the first year in the lives of four far-flung infants.",2010-05-06,2010-05-07,2017-11-02 4:18,6500000,Documentary,0,"Alain Chabat (original idea), Thomas Balmès (adaptation)",1,0
Baby Driver,R,1,MANOHLA DARGIS,"Review: In ‘Baby Driver,’ It’s Kiss Kiss, Zoom Zoom","Burning rubber and hot licks help propel this action movie about a getaway driver named Baby, played by Ansel Elgort. Edgar Wright directed.",2017-06-27,2017-06-28,2017-11-02 4:18,107770367,Action,0,Edgar Wright,0,1
Ballplayer Pelotero,Not Rated,1,NEIL GENZLINGER,Baseball Dreams and Schemes,Ballplayer: Pelotero” is a stark documentary that examines the process of scouting young baseball players in the Dominican Republic.,2012-07-12,2012-07-13,2017-11-02 4:18,44689,Documentary,0,N/A,0,NA
Balls Out,R,1,ANDY WEBSTER,"Review: &#8216;Balls Out,&#8217; a Sports-Movie Satire Packed With &#8216;S.N.L.&#8217; Talent","&#8220;This isn&#8217;t about winning,&#8221; says the coach of the motley intramural football team at the center of this comedy. &#8220;It&#8217;s about winning at the last possible second.&#8221;",2015-06-18,2015-06-19,2017-11-02 4:18,NA,Comedy,0,Bradley Jackson,0,NA
Barbershop Punk,NA,1,ANDY WEBSTER,Yearning to Breathe Free on the Web,The documentary “Barbershop Punk” follows one man’s battle against Comcast and how it restricts Internet traffic.,2011-11-10,2011-11-11,2017-11-02 4:18,NA,Documentary,1,Georgia Sugimura Archer,1,0
Barbershop: The Next Cut,PG-13,1,A. O. SCOTT,Review: ‘Barbershop: The Next Cut’: Let the Debates Resume,"This movie revives the “Barbershop” franchise, bringing back Ice Cube as the owner of a haircutting establishment on Chicago’s South Side.",2016-04-14,2016-04-15,2017-11-02 4:18,54014580,Comedy,0,"Kenya Barris, Tracy Oliver, Mark Brown (characters)",0,0
Battle for Brooklyn,NA,1,NEIL GENZLINGER,"In Brooklyn, Pushing Back Against a Redevelopment Plan","“Battle for Brooklyn,” a documentary by Michael Galinsky and Suki Hawley, chronicles the Atlantic Yards project and the work of a resident who has fought against it.",2011-06-16,2011-06-17,2017-11-02 4:18,NA,Documentary,0,N/A,NA,NA
Beach Rats,R,1,BEN KENIGSBERG,"Review: In ‘Beach Rats,’ Life and Sexuality in Limbo",Eliza Hittman’s refreshing sophomore feature centers on its main character’s existential crisis.,2017-08-24,2017-08-25,2017-11-02 4:18,457847,Drama,1,Eliza Hittman,0,0
Beauty and the Beast,PG,1,A.O. SCOTT,Review: ‘Beauty and the Beast’ Revels in Joy and Enchantment,A compassionate Belle and a splendid monster are the hallmarks of this live-action remake of the 1991 animated film.,2017-03-03,2017-03-17,2017-11-02 4:18,47611331,Animation,0,"Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)",0,1
Before Midnight,R,1,A. O. SCOTT,"Nine Years Later, Once More",“Before Midnight” follows the continuing romance of characters played by Julie Delpy and Ethan Hawke in the third film in a series directed by Richard Linklater.,2013-05-23,2013-06-14,2017-11-02 4:18,8114507,Drama,0,"Richard Linklater, Julie Delpy, Ethan Hawke, Richard Linklater (characters), Kim Krizan (characters)",0,1
Best and Most Beautiful Things,Not Rated,1,NEIL GENZLINGER,"Review: ‘Best and Most Beautiful Things,’ About a Disabled Woman’s Place in the World",This documentary follows a young woman who is legally blind and has Asperger’s syndrome as she enters adulthood and explores a new identity.,2016-12-01,2016-12-02,2017-11-02 4:18,2840,Documentary,0,N/A,0,0
Beyond the Edge,NA,1,BEN KENIGSBERG,Those 3-D Effects Are the Bee’s Knees,"With re-enactments and archival material, Leanne Pooley recounts Edmund Hillary and Tenzing Norgay’s ascent of Mount Everest.",2014-07-03,2014-07-04,2017-11-02 4:18,NA,Documentary,1,"Matthew Metcalfe (screen story), Leanne Pooley (screen story), Leanne Pooley",0,0
Beyond the Lights,PG-13,1,A. O. SCOTT,"The Glamorous Life, With All Its Woes","In Gina Prince-Bythewood&#8217;s &#8220;Beyond the Lights,&#8221; a pop star lives a lonely life before meeting a police officer with ambitions of his own.",2014-11-13,2014-11-14,2017-11-02 4:18,14617945,Drama,1,Gina Prince-Bythewood,1,1
Big Game,PG-13,1,ANDY WEBSTER,Review: &#8216;Big Game&#8217; Stars Samuel L. Jackson as a President in Dire Straits,"In this adventure, a Scandinavian teenager encounters the American president, who has bailed out of a doomed Air Force One over the Finnish woods.",2015-06-25,2015-06-26,2017-11-02 4:18,17408,Action,0,"Jalmari Helander (screenplay by), Jalmari Helander (based on the original story by), Petri Jokiranta (based on the original story by)",0,0
Big Men,NA,1,JEANNETTE CATSOULIS,"Oil Money, and Where It Flows",Rachel Boynton’s documentary “Big Men” is about the 2007 discovery of oil off the coast of Ghana and the perfect storm of avarice that develops around it.,2014-03-13,2014-03-14,2017-11-02 4:18,43191,Documentary,1,Rachel Boynton,NA,0
Big Sur,R,1,STEPHEN HOLDEN,A Writer Who’s Beat in Search of a Refuge,"Michael Polish’s film “Big Sur” is based on Jack Kerouac’s visits to that coastal California region, where he fled the literary success that followed the publication of “On the Road.”",2013-10-31,2013-11-01,2017-11-02 4:18,35927,Drama,0,"Michael Polish (screenplay), Jack Kerouac (novel)",0,0
Bikes vs Cars,NA,1,ANDY WEBSTER,Review: ‘Bikes vs Cars’ Explores the Debate in Cyclist-Friendly Cities,"From a cabdriver in Copenhagen to an activist in São Paulo, Fredrik Gertten’s documentary presents a wide range of viewpoints.",2015-12-03,2015-12-04,2017-11-02 4:18,NA,Documentary,0,Fredrik Gertten,1,NA
Bill Cunningham New York,Not Rated,1,CARINA CHOCANO,Capturing a ‘Look at Me’ Milieu With Impish Modesty,Richard Press’s documentary “Bill Cunningham New York” follows that “On the Street” fashion photographer of The New York Times.,2011-03-15,2011-03-16,2017-11-02 4:18,1510026,Documentary,0,N/A,0,0
Bill Frisell: A Portrait,NA,1,GLENN KENNY,"Review: ‘Bill Frisell,’ a Winning Portrait of a Very Nice Guitarist","The director Emma Franz focuses on a musician who seems to never stop playing, featuring great collaborators of this “no drama” artist.",2017-12-05,2017-12-06,2017-12-15 17:44,NA,Documentary,1,Emma Franz,0,NA
Birdman,R,1,MANOHLA DARGIS,"Former Screen Star, Molting on Broadway",Alejandro G. I&#241;&#225;rritu&#8217;s comedy &#8220;Birdman&#8221; stars Michael Keaton as a onetime movie superhero betting his career on a strange Broadway play.,2014-10-16,2014-11-14,2017-11-02 4:18,NA,Animation,0,N/A,0,0
Bitch,NA,1,JEANNETTE CATSOULIS,"Review: In ‘Bitch,’ a Desperate Housewife Finds Her Bark",Jason Ritter plays a husband whose wife goes to the dogs in this feminist horror-comedy.,2017-11-09,2017-11-10,2017-11-17 17:44,NA,Comedy,1,Marianna Palka,1,0
Black Swan,R,1,MANOHLA DARGIS,"On Point, on Top, in Pain",In “Black Swan” Natalie Portman plays an ambitious ballerina straining to handle stardom.,2010-12-02,2010-12-17,2017-11-02 4:18,106952327,Drama,0,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",1,1
Blackhat,R,1,MANOHLA DARGIS,Unshackled Hacker Dons a White Hat,"In Michael Mann&#8217;s &#8220;Blackhat,&#8221; a hacker is provisionally released from prison to combat a cybercriminal who has sabotaged a nuclear plant and manipulated a financial market.",2015-01-15,2015-01-16,2017-11-02 4:18,5686515,Action,0,Morgan Davis Foehl,0,0
Blank City,Not Rated,1,A. O. SCOTT,That ’80s Moment When Nothing and (Almost) Everything Mattered,The documentary “Blank City” looks at iconoclastic downtown New York filmmakers in the late 1970s and early ’80s.,2011-04-05,2011-04-06,2017-11-02 4:18,NA,Documentary,1,N/A,0,NA
