"display_title","summary_short","critics_pick"
"5 Star Day","Five Star Day follows a young man who sets out to disprove the value of horoscopes as a final project for a college course",0
"50/50","In 5050 when Joseph GordonLevitts character receives a diagnosis of cancer his pal played by Seth Rogen is there with support and leavening humor",0
"6 Days","Toa Frasers film about a hostage crisis at the Iranian Embassy in London in 1980 can feel closer to a reenactment than a thriller",0
"7 Minutes","Three friends decide to commit a crime greatly underestimating the difficulty",0
"7 Sins Forgiven","Vishal Bhardwajs 7 Khoon Maaf a meandering black widow tale has plenty of art But it floats around ungrounded in anything like emotional reality",0
"90 Minutes in Heaven","This movie based on a bestselling memoir dwells on the physical and spiritual recovery of Don Piper a Texas pastor who was declared dead in a car crash",0
"A Bad Moms Christmas","Christine Baranski Cheryl Hines and Susan Sarandon join the cast for a sequel to Bad Moms",0
"A Ballerina's Tale","Nelson Georges documentary delves into the talent and drive  and the careerthreatening injuries  of American Ballet Theaters first black female principal dancer",0
"A Band Called Death","The music documentary A Band Called Death catches up with a groundbreaking punk group that emerged in 1970s Detroit",0
"A Beautiful Planet","Images of the planet and even mundane tasks take on a fascinating quality in this documentary shot by astronauts aboard the International Space Station",0
"A Brave Heart: The Lizzie Velasquez Story","Sara Hirsh Bordo directing her first feature keeps the scenes bright and fastmoving but several important topics about Ms Velasquez are are barely addressed",0
"A Brighter Summer Day","A Brighter Summer Day the director Edward Yangs chronicle of disaffected youth in Taiwan in 1960 seethes with the spirit of confused ardent rebellion",0
"A Brilliant Young Mind","A young mathematical genius played by Asa Butterfield struggles with his autism and the aftermath of his father8217s death",0
"A Christmas Horror Story","Three directors combine to make this addition to the scaryholidaymovie genre which includes William Shatner as a Christmas Eve DJ",0
"A Coffee in Berlin","A Coffee in Berlin Jan Ole Gersters feature film debut follows a young mans twisting path",0
"A Cure for Wellness","This thriller from Gore Verbinski makes for a nice game of Name That Movie Influence as it treads the boundary between homage and outright plagiarism",0
"A Family Affair","The Dutch documentarian Tom Fassaert pursues his own history beginning with his 95yearold grandmother in South Africa",0
"A Faster Horse","This film celebrates the 50th anniversary of the car from its mid1960s beginnings to today",0
"A Fragile Trust","Samantha Grants documentary A Fragile Trust comes a decade after the fraud scandal at The New York Times perpetrated by the reporter Jayson Blair",0
"A German Life","Did Goebbelss secretary do anything more than type This documentary lets viewers judge",0
"A Good American","Friedrich Mosers documentary employs reenactments moving graphics and a Philip Glasslike score",0
"A Good Day to Die Hard","Bruce Willis takes his fifth turn playing John McClane this time in Moscow in the stuntloaded film A Good Day to Die Hard",0
"A Gray State","Erik Nelsons documentary centers on the aspiring filmmaker David Crowley whose violent death became a cause for conspiracy theorists",0
"A Haunted House","Marlon Wayans stars in A Haunted House a horror movie parody directed by Mike Tiddes",0
"A Haunted House 2","Marlon Wayans stars in A Haunted House 2 his second stop in this horrorspoof franchise",0
"A Horrible Way to Die","Adam Wingards Horrible Way to Die turns a typical idea into an unexpectedly novel thriller",0
"A LEGO Brickumentary","A movie explores the uses from artistic to therapeutic of a ubiquitous toy",0
"A Life in Dirty Movies","8220A Life in Dirty Movies8221 explores the work of Joe Sarno known for his 1960s softcore films and his long relationship with his wife and collaborator Peggy",0
"A Little Bit of Heaven","A carefree advertising whiz wont let cancer get in the way of romance or her sense of humor in A Little Bit of Heaven",0
"A Little Help","A Little Help stars Jenna Fischer as a Long Island dental hygienist whose life is deteriorating around her",0
"A Love Affair of Sorts","A Love Affair of Sorts is a critique of what we already know so well were selfabsorbed and shallow",0
"A Man Called Ove","Adapted from a bestselling Swedish novel this film stars Rolf Lassgard as a gruff unemployed railroad worker who befriends immigrants who are his new neighbors",0
"A Marine Story","Closeted forced out of the service and now facing identity issues at home",0
"A Million Ways to Die in the West","The oneman comedy juggernaut Seth MacFarlane directed himself in this western spoof",0
"A Moment of Silence","This documentary centers on the first Bolivian president to rise from the countrys indigenous majority",0
"A Monster Calls","Liam Neeson is the voice of a giant tree that helps a child with a vivid imagination through difficult times",0
"A Most Wanted Man","In A Most Wanted Man a grim German intelligence agent played by Philip Seymour Hoffman zeros in on a Chechen whom he believes he can link to terrorist cells",0
"A Nightmare on Elm Street","This newly rebooted Nightmare on Elm Street tries to recapture some of the grisly wit of the original",0
"A Novel Romance","A Novel Romance centers on a middleaged schlub and the attractive young women he inexplicably attracts",0
"A Perfect Day","Benicio Del Toro and Tim Robbins star in this Fernando Len de Aranoas film set in the Balkan countryside in 1995",0
"A Royal Night Out","In this fantasy directed by Julian Jarrold two princesses escape incognito to commune with the joyful masses on the day Word War II ended in Europe",0
"A Single Man","Colin Firth wears the face of grief in Tom Fords directorial debut A Single Man",0
"A Space Program","Van Neistats film is the record of the artist Tom Sachss installation that amused audiences at the Park Avenue Armory in 2012",0
"A Strange Course of Events","A clerical worker at a hospital in Israel decides on impulse to visit his estranged father in HaifaThey havent see each other in five years",0
"A Street Cat Named Bob","With Bob on his shoulder a homeless busker James is able to face just about anything  a negligent father street ruffians and drug withdrawal",0
"A Taxi Driver","Jang Huns drama recalls the efforts of the German TV journalist Jrgen Hinzpeter and a cabby he hired to record the Gwangju uprising in 1980",0
"A Teacher","In Hannah Fidells debut feature a young high school teacher has an affair with one of her teenage students",0
"A Thousand Words","In A Thousand Words Eddie Murphy plays a literary agent who is magically connected to the fate of a tree",0
"A Walk Among the Tombstones","In 8220A Walk Among the Tombstones8221 the private investigator Matthew Scudder from the Lawrence Block novels pursues a case that leads him to an underworld of brutality",0
"A Walk in the Woods","Mr Redford stars with Nick Nolte in this film based on Bill Bryson8217s 1998 chronicle of hiking the Appalachian Trail with an old friend",0
"A Will for the Woods","A Will for the Woods is a documentary about natural burial that focuses on a psychiatrist as he prepares for his death",0
"A Woman Like Me","Dying of cancer the director Alex Sichel kept a video diary while creating a fictional account of her treatment",0
"A Woman, a Part","In Elisabeth Subrins feature a nuanced take on friendship and professional frustration an actress finds that early relationships can fade",0
"A World Not Ours","In A World Not Ours the director Mahdi Fleifel interviews generations of family in the crowded Palestinian refugee camp where he lived before moving to Denmark",0
"A Year Ago in Winter","A Year Ago in Winter doesnt succumb to the usual weepieoftheweek clichs",0
"Aarakshan","In Aarakshan a teacher in India battles the hucksters who want to make education a commodity available only to the privileged",0
"Aashayein","Nagesh Kukunoors Aashayein is a genredefying Bollywood look at death",0
"ABCD 2 (Anybody Can Dance 2)","The leader of the Mumbai Stunners troupe hopes to turn around the group8217s fortunes in this Remo D8217Souza Bollywood sequel",0
"Abduction","Taylor Lautner stars in Abduction There is also a plot of sorts",0
"Abendland","The documentary Abendland directed by Nikolaus Geyrhalter uses images of Europe at night to explore the ideas of constructed nationalism and political community",0
"Abortion: Stories Women Tell","Both sides are addressed in this documentary which largely focuses on viewpoints and personal experiences in Missouri and Illinois",0
"About Last Night","About Last Night a raucously entertaining remake follows the difficulties faced by two couples one sensitive and well behaved the other outrageously naughty",0
"About Time","A Hugh Grant wannabe Domhnall Gleeson and his father Bill Nighy indulge the supernatural talent shared by the men in their family",0
"Above and Beyond","The documentary Above and Beyond recounts the story of Jewish American pilots who secretly fought for Israel during its War of Independence",0
"Abraham Lincoln: Vampire Hunter","In Abraham Lincoln Vampire Hunter where the vampires are white Southerners whose cause is enslaving human beings there are enough bodies to paint the screen red",0
"Absolutely Fabulous: The Movie","Jennifer Saunders and Joanna Lumley are back as Eddy and Patsy in this happily selfconscious featurelength goof a film iteration of the BBC TV series",0
"Act of Valor","In Act of Valor real members of the Navy SEALs show off what they do in a concocted story complete with a kidnapped CIA officer and a hooknosed villain",0
"Actor Martinez","Acting may be his first love but the title character in Actor Martinez soon learns its no picnic  especially when dealing with his directors",0
"Addicted","8220Addicted8221 a film by Bille Woodruff is a cautionary tale of a restless businesswoman who seems to have it all but descends into sex addiction",0
"Admission","Tina Fey stars as an admissions officer at Princeton in Admission a comedy directed by Paul Weitz",0
"Adult World","In Adult World an aspiring 22yearold poet takes the only job she can find as an assistant in a pornographic bookstore but persists in a fantasy about literary renown",0
"Affluenza","In Affluenza Kevin Aschs take on millennials pot sex and golf are plentiful but everyone continues to sulk",0
"African Cats","African Cats tells the story of lions and cheetahs and the power of mother love",0
"After","The drama After centers on a secret that could greatly affect an upstate New York family",0
"After Auschwitz","The documentary traces the experiences of six women who settled in the United States after the end of World War II",0
"After Earth","After Earth the Will SmithJaden Smith vehicle directed by M Night Shyamalan a boy and his dad crashland on a planet that their ancestors ruined and fled",0
"After Love","A couple break up but remain together frustratingly because of the husbands financial woes",0
"After Words","Romance is the last thing on the mind of Marcia Gay Harden8217s character when she begins a tour of Costa Rica with a personal guide",0
"Aftermath","In Aftermath by Peter Engert a cellarbound gang of desperate survivors tries to cope after a global nuclear catastrophe",0
"Agrarian Utopia","Uruphong Raksasads Agrarian Utopia focuses on two families of farmers in Thailand",0
"Ain't Them Bodies Saints","Aint Them Bodies Saints a moody westernish crime drama written and directed by David Lowery stars Rooney Mara and Casey Affleck",0
"AL DI QUA (Life/Here)","In this film Turins poorest tell their stories to the camera",0
"Alamar","In Alamar by Pedro GonzlezRubio a boy takes the journey of a lifetime with his Mexican father",0
"Alex Cross","Tyler Perry plays the title character in Alex Cross based on a James Patterson novel",0
"Alex of Venice","Mary Elizabeth Winstead plays a character much like Dustin Hoffman8217s in 8220Kramer vs Kramer8221 in Chris Messina8217s directorial debut",0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","8220Alexander and the Terrible Horrible No Good Very Bad Day8221 includes Steve Carell and Jennifer Garner in its adaptation of Judith Viorst8217s children8217s book",0
"Alice in Wonderland","Tim Burtons Alice in Wonderland is busy garish and periodically amusing",0
"Alice Through the Looking Glass","This sequel to Tim Burtons Alice in Wonderland directed by James Bobin offers a world of grotesque overabundance cluttered with specialeffects gadgetry",0
"Alien: Covenant","The new entry in Ridley Scotts longlived franchise is committed to the canny management of expectations but that doesnt diminish its creepiness",0
"Alina","Ben Barenholtz kickstarted the career of David Lynch But his first fiction feature shows he has not mastered directing",0
"All Eyez on Me","Benny Booms film fails the considerable talent of the complex rapper it chronicles and the actor portraying him Demetrius Shipp Jr",0
"All I See Is You","This psychodrama from Marc Forster stars Blake Lively and Jason Clarke as a seemingly happy married couple",0
"All Mistakes Buried","Directed by Tim McCann the film stars Sam Trammell as a reprobate who takes on dangerous criminals in an effort to save his marriage",0
"All Relative","Having two relationships at once causes complications for a graduate student in the comedy 8220All Relative8221",0
"All the Light in the Sky","All the Light in the Sky asks questions about human nature the march of time and global warming",0
"All the Rage (Saved by Sarno)","This documentary looks at Dr John Sarno who posits that many types of chronic pain particularly back pain are caused by stress and repressed emotions",0
"All These Sleepless Nights","A Polish film follows its young protagonist as he flirts attends parties until dawn and gyrates to a perpetual backbeat",0
"All Things Must Pass","This documentary tracks the rise and fall of the Tower franchise and notes its influence on some of the biggest names in music",0
"All This Panic","This limber lightfooted documentary becomes a sort of dreamy film diary for the girls it profiles",0
"All We Had","A teenage girl and her downtrodden mother struggle to build a normal life but any progress they make seems to unravel",0
"All You Need Is Love","The Good Morning School for Burmese children in Thailand is the subject of Stuart Cameron8217s documentary 8220All You Need Is Love8221",0
"Allegiant","Allegiant the first part of the Divergent series finale takes moviegoers to the creepy confines of the Bureau of Genetic Welfare",0
"Allure","The Occupy movement is a backdrop to this film about four women from different countries and diverse backgrounds and their American experiences",0
"Almayer's Folly","Almayers Folly a tropical study in helpless intransigence adapted from Conrads oftenoverlooked debut novel",0
"Almost Holy","This documentary by Steve Hoover examines Gennadiy Mokhnenko a pastor in Ukraine who rehabilitates homeless children at his center Pilgrim Republic",0
"Almost There","This documentary from Dan Rybicky and Aaron Wickenden follows the story of Peter Anton an artist in Indiana",0
"Alms for a Blind Horse","The writer and director Gurvinder Singhs film Alms for a Blind Horse shows situations during a day and a night in the Punjab in northwestern India",0
"Aloha","Cameron Crowes loose and leisurely film can be enjoyed the way you enjoy a catchup beer with an old friend you dont have much in common with anymore",0
"Along for the Ride","Dennis Hoppers life could be seen as a wild ride on and off the screen Someone who was by Hoppers side interprets his story",0
"Along With the Gods: The Two Worlds","This delirious fantasy from Kim Yonghwa adapted from a web comic buries story clarity and emotional depth under a mountain of visual pyrotechnics",0
"Alpha and Omega","A talkinganimal tale of two wolves starcrossed lovers that are captured in the Canadian Rockies and shipped to Idaho",0
"Already Tomorrow in Hong Kong","Written and directed by Emily Ting this film tells of two Americans who run into each other on the streets of a glittering city",0
"Altered States of Plaine","In Altered States of Plaine the protagonist finds himself in a new location without any sense of how he got there any time he dozes off",0
"Altiplano","Jasmin Tabatabai and Magaly Solier are grieving women from different worlds in a tale of ecological exploitation",0
"Alumbrones","Alumbrones a documentary by Bruce Donnelly focuses on Cuban artists whose creative lives have been defined by scarcity",0
"Alvin and the Chipmunks: Chipwrecked","The Chipmunks go on a cruise that ends badly with the Chipettes along for the ride",0
"Alvin and the Chipmunks: The Road Chip","In this fourth installment of the series the Chipmunks travel to Florida when they think their human minder Dave is getting too chummy with his girlfriend",0
"Always Woodstock","8220Always Woodstock8221 centers on an aspiring singersongwriter who strikes out in New York City and moves back to her childhood home",0
"American Assassin","American Assassin the first adaptation of a series of thrillers stars Dylan OBrien as a rogue CIA killer and Michael Keaton as grizzled mentor",0
"American Empire: An Act of Collective Madness","Patrea Patricks American Empire posits that multinational corporations have created a cartel economy bent on world domination",0
"American Fable","Anne Hamiltons film seems full of suspenseful promise as it opens on an isolated swath of the countrys heartland but the story finds no traction",0
"American Hero","Stephen Dorff stars as Melvin an absentee dad who has the power to move objects with his mind in this movie written and directed by Nick Love",0
"American Made","Mr Cruise plays a reallife pilot turned smuggler who worked for the CIA in Doug Limans new movie",0
"American Made Movie","American Made Movie pins the decline of the manufacturing sector on forces seemingly beyond anyones control and the hopes for reversing it on plucky individuals",0
"American Pastoral","Ewan McGregors directorial debut is a shallow but watchable gloss on this Roth novel conjuring a searing image of the disintegrating American dream",0
"American Reunion","Jason Biggs Seann William Scott and Eugene Levy return for the fourth installment of the American Pie franchise",0
"American Sniper","Clint Eastwoods latest film is about Chris Kyle a Navy SEAL who served tours of duty in Iraq",0
"American Teacher","The documentary American Teacher is a heartfelt bittersweet portrait of several teachers as they decide whether to stay in the lowpaying profession",0
"American Ultra","Kristen Stewart and Mr Eisenberg pair up again in this film an action adventure with CIA trouble and occasional laughs",0
"American: The Bill Hicks Story","Paul Thomas and Matt Harlocks documentary looks at the life of the comedian Bill Hicks",0
"Amira & Sam","In Sean Mullin8217s 8220Amira  Sam8221 an Army veteran and aspiring comedian becomes the protector of his old Iraqi translator8217s beautiful relative",0
"Among Ravens","In Among Ravens relatives and their problems gather at a Fourth of July getaway",0
"Among the Believers","This documentary takes the viewer inside the Islamic schools in Pakistan run by the fiery Abdul Aziz",0
"An Education","If in hindsight An Education might make you a little queasy it is hard to resist",0
"An Open Secret","In this documentary directed by Amy Berg former child actors recount the manipulations coverups and exploitations they encountered in the entertainment industry",0
"Anchorman 2: The Legend Continues","Will Ferrell stars in Anchorman 2 The Legend Continues a sequel now set in the 1980s and the era of cable",0
"And Now a Word From Our Sponsor","In And Now a Word From Our Sponsor an ad executive is reduced to speaking only in slogans",0
"And So it Goes","Michael Douglas plays a crabby old guy who gets together with his nextdoor neighbor Diane Keaton in the comedy And So It Goes",0
"And They're Off","And Theyre Off  is a horseracing mockumentary about a losing trainer who gets a big chance",0
"Andron","A knockoff of The Hunger Games and The Maze Runner this film adds up to less than the sum of its parts",0
"Angels Crest","Gaby Dellals new film Angels Crest depicts the pain of a small town and a young father after a tragedy",0
"Animals","A collegeeducated middleclass couple create a selfcontained civilization in which heroin is a powerful force within their personal love story",0
"Annabelle","Before the events of 8220The Conjuring8221 a doll is up to her old tricks in 8220Annabelle8221",0
"Annabelle: Creation","The director David F Sandberg proves to be a master of the flashscare as he strings together jolts in this prequel to the 2014 film Annabelle",0
"Annie","A remake of 8220Annie8221 stars a magnetic Quvenzhan233 Wallis but even with her charisma the film is a chaotic shambles",0
"Another Evil","In this ultralowbudget ghost story the living may exhibit more unsettling behavior than the dead",0
"Antarctic Edge: 70° South","This documentary about a scarcely charted place underlines the sheer labor of exploration and the global dangers posed by shrinking sea ice",0
"Antarctica: A Year On Ice","The documentary 8220Antarctica8221 reveals the community spirit among residents of the southernmost continent",0
"Apollo 18","In the sciencefiction thriller Apollo 18 a secret mission to the Moon turns out to be filled with otherworldly dangers",0
"Approaching the Unknown","This Mark Elijah Rosenberg film centers on an astronaut and has echoes of movies like 2001 A Space Odyssey and Interstellar",0
"Archaeology of a Woman","In Archaeology of a Woman Sally Kirkland plays an exnewspaper columnist battling dementia while a murder mystery unfolds",0
"Archie's Final Project","In Archies Final Project the protagonists life is one big movie with both comic and troubled sides but the films message about teenage angst is completely serious",0
"Argento's Dracula 3D","Thomas Kretschmann stars in Argentos Dracula 3D a film directed by Dario Argento",0
"Arise","Arise turns a lens on women battling environmental ills around the world",0
"Around the World in 50 Concerts","Heddy Honigmann8217s film looks at the Royal Concertgebouw Orchestra on its 125th anniversary tour in 2013",0
"Aroused","Aroused a documentary directed by Deborah Anderson sets out to humanize female pornography stars",0
"Arsenal","This movie directed by Steven C Miller follows two brothers under pressure by a crime boss in Mississippi",0
"Arthur","A remake of the 1981 comedy Arthur stars Russell Brand in the Dudley Moore role of the boozy billionaire",0
"Arthur Christmas","Arthur Christmas is an animated 3D film for children with plenty of jokes for grownups and the voices of James McAvoy Bill Nighy Hugh Laurie and Jim Broadbent",0
"As Above, So Below","In As AboveSo Below fictional documentarians follow a group searching the Paris catacombs for the Philosophers Stone",0
"As Good As Dead","Andie MacDowell and Frank Whaley hold Cary Elwes hostage for a crime they believe he committed in As Good as Dead",0
"As You Are","Two teenage boys in the 1990s bond over altrock only to have their friendship strained in this first feature directed by Miles JorisPeyrafitte",0
"Ascent","Fiona Tans ode to this volcanic mountain draws on a scripted voiceover to impart observations and histories",0
"Ashby","Mickey Rourke stars as the former assassin and Nat Wolff as the student who wants to hear his life story in this semicomic film from Tony McNamara",0
"Assassin's Bullet","A former FBI field agent Christian Slater is enticed back to his old duties in Assassins Bullet",0
"Assassin’s Creed","Mr Fassbender plays a convict who experiences the actions of his assassin ancestor in this timebending film based on the video game of the same name",0
"Assassination","This historical drama written and directed by Choi Donghoon is set mainly in the 1930s when Korea was chafing under Japanese occupation",0
"Asura: The City of Madness","This film offers diversion but not sociological scope Blood flows freely",0
"Atlas Shrugged: Part II -- The Strike","Atlas Shrugged Part II is like Part I in that it was made for true believers of Ayn Rand and her novel Atlas Shrugged",0
"Atomic Blonde","Charlize Theron plays a spy in Atomic Blonde which comes off like a highlight reel of car crashes and inventively choreographed fights",0
"Atomica","This scifi thriller may not have Arrivallevel effects or sophistication but it delivers a solid Bmovie kick",0
"August: Osage County","The word acting is inadequate for what the cast of August Osage County is doing Its more of a thespian cage match",0
"Aurangzeb","Aurangzeb weaves Bollywood tropes  twins separated as babies parentchild reunions crosses and doublecrosses  with contemporary outrage at the rules of the game",0
"Austin Found","Dumbcomedy season is here Linda Cardellini stars as a manipulative mother who turns to kidnapping when her pageant dreams for her daughter fizzle",0
"Author: The JT Leroy Story","Jeff Feuerzeigs documentary charts the invention of an underage HIVpositive hustler and how the famous and nonfamous were taken in until the hoax was exposed",0
"Ava’s Possessions","There is a mysterious bloodstain beneath Avas rug and there are criminal charges for assault and indecent exposure to be faced",0
"Avengers: Age Of Ultron","The new installment in the Avengers franchise adds characters including the Scarlet Witch and Quicksilver even as its familiar heroes fight battles terrestrial and galactic",0
"Awake: The Life of Yogananda","8220Awake The Life of Yogananda8221 tells the story of an Indian yogi who garnered relatively wide attention in the first half of the 20th century",0
"Awakened","Awakened a thriller starring Julianne Michelle follows a woman who has returned to her hometown to investigate her mothers death",0
"Baaghi","Fists and feet fly in this movie with the usual grab bag of romance comedy and drama directed by Sabbir Khan and starring Tiger Shroff and Shraddha Kapoor",0
"Backcountry","8220Backcountry8221 unfolds in a dense forest where two hapless hikers meet with all manner of terrors",0
"Backstreet Boys: Show 'Em What You're Made Of","In 8220Backstreet Boys Show 8217Em What You8217re Made Of8221 members of that boy band reminisce relax and occasionally rehearse",0
"Bad 25","Spike Lee compiles clips and interviews to present a buoyant picture of Michael Jackson in Bad 25 celebrating the 25th anniversary of Jacksons followup to Thriller",0
"Bad Hurt","This drama set in 1999 features posttraumatic stress disorder and other problems that are not easily solved",0
"Bad Johnson","Be careful what you wish for A man tired of the way his lust runs his life ends up with a renegade humanform penis in the sex farce Bad Johnson",0
"Bad Kids of Crestview Academy","Prepschool students in Saturday detention are trapped on campus to die one by one in this film directed by Ben Browder a sequel to Bad Kids Go to Hell",0
"Bad Moms","The film is a funny giddy sentimental laughin from Jon Lucas and Scott Moore who wrote the 2009 hit The Hangover",0
"Bad Santa 2","This sequel addresses two unnecessary questions What if bad Santa werent so bad And what if he had an estranged and equally foul mother",0
"Bad Teacher","Cameron Diaz has found her downanddirty element in Bad Teacher a broad comedy that threatens to get ugly and more or less succeeds on that threat",0
"Bad Turn Worse","Zeke and Simon Hawkins8217s 8220Bad Turn Worse8221 begins with 20000 missing from a safe in a Texas cotton mill town",0
"Bad Words","Bad Words Jason Batemans featuredirecting debut is a wouldbe gonzo comedy with a tough exterior and a marshmallow center",0
"Badmaash Company","Parmeet Sethis Badmaash Company considers corruption and redemption in modern India",0
"Badrinath Ki Dulhania","This Bollywood romcom directed by Shashank Khaitan describes the growing pains of a gentleman whose fiance teaches him to acknowledge her equality",0
"Baggage Claim","A woman goes searching for a husband in Baggage Claim a comedy directed by David E Talbert and based on his novel",0
"Bajirao Mastani","A Hindu man falls for a Muslim woman in 18thcentury India in this film from Sanjay Leela Bhansali",0
"Bal","With Bal Honey the Turkish director Semih Kaplanoglu enables the lush mountain forests of Rize Province near the Black Sea to express what its young protagonist cannot",0
"Band Aid","Zoe ListerJones wrote directed and stars in this comedy about an outofsync couple turning their squabbles into songs",0
"Bang Bang","In the action film Bang Bang the hero covers several continents in pursuit of a diamond from the Tower of London among other prizes",0
"Bang Gang: A Modern Love Story","This film about middleclass teenagers having group sex during a long hot summer in Biarritz France is remarkable for its shrugging attitude",0
"Barbecue","This French comedy concerns a man who has had a heart attack and yet continues with his philandering ways",0
"Bare","Dianna Agron of Glee stars as someone who flees a staid existence after meeting a drugdealing drifter",0
"Barney's Version","Barneys Version stars Paul Giamatti in an adaptation of a book by Mordecai Richler",0
"Batkid Begins: The Wish Heard Around the World","Dana Nachman documents the overwhelming response to a 5yearold cancer patient8217s wish to become Batman",0
"Batman v Superman: Dawn of Justice","The film pitting Ben Affleck against Henry Cavill largely serves as an extended trailer for a slate of coming DC Comics movies like Wonder Woman",0
"Battle of the Sexes","Emma Stone plays Billie Jean King and Steve Carell plays Bobby Riggs in a movie about the 1973 tennis match that became a referendum on equality",0
"Battle of the Year 3D","A bawdy college kegger has a possible extraterrestrial mystery in 1 The 3D Battle of the Year has a dance team preparing for competition",0
"Battle: Los Angeles","Battle Los Angeles follows Marines fending off an attack on the title city",0
"Battleship","Battleship a movie loosely based on the Hasbro game is a cacophonous specialeffects extravaganza",0
"Baywatch","Dwayne Johnson and his lifeguard squad try to save the Bay while providing the sort of sleazy wholesome entertainment this 90s series was known for",0
"Bazodee","This romance finds an Indian family from London visiting another in Trinidad and Tobago for a party celebrating their childrens engagement",0
"Be Somebody","Matthew Espinosa plays a pop star who has had enough with his tour handlers and sees how the other folks live",0
"Bears","Disneys Bears is the chronicle of a year in the hungry life of one bear and her two cubs in the Alaskan wilderness",0
"Beastly","Teenage love breaks out in Beastly a fairy tale remade",0
